ZIP,COUNTY,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE,TOM_MALE,TOM_FEMALE,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,AGE_8,AGE_9,AGE_10,AGE_11,AGE_12,AGE_13,AGE_14,AGE_15,AGE_16,AGE_17,AGE_18,STATUS_CHARGED_OFF,STATUS_CURRENT,STATUS_DEFAULT,STATUS_FULLY_PAID,STATUS_IN_GRACE_PERIOD,STATUS_LATE_1,STATUS_LATE_2,ACCEPTED_COUNT,REJECT_COUNT
010,25003,0.44634978252,0.480583283788,0.0175000782301,0.0147463779454,0.00150984134931,0.0012282129111,0.00666520637106,0.00815157868386,0.000195575304315,0.000258159401696,0.0219983102294,0.0206605751479,0.0114294207842,0.0113824827111,0.0429952749006,0.046046249648,0.0507322339394,0.0645789654849,0.0681853740964,0.0510216853897,0.0528131551773,0.049809118503,0.0537753856745,0.0651422223613,0.0795756798198,0.0827361767375,0.0766968113402,0.0700081359327,0.0490659323466,0.0345542447664,0.0273492505554,0.0349141033263,78,358,0,222,8,2,10,678,4024
011,25013,0.402812891712,0.429962395632,0.0519088997004,0.0560028893752,0.00376893496781,0.00390703010474,0.0117380866388,0.0133038730375,0.000826446280992,0.00087318617349,0.115152223332,0.124623425184,0.0120079032909,0.0128874630861,0.0582209097283,0.0602838386199,0.0635811255816,0.0726422911045,0.0767978924558,0.0664088890777,0.0620727017782,0.0561983471074,0.0577938770741,0.0650789266821,0.0720856614757,0.0715948926045,0.0622936539973,0.0504408421679,0.035486201109,0.0243323631265,0.019450168901,0.0252374174085,26,100,0,67,3,1,5,202,1956
012,25003,0.44634978252,0.480583283788,0.0175000782301,0.0147463779454,0.00150984134931,0.0012282129111,0.00666520637106,0.00815157868386,0.000195575304315,0.000258159401696,0.0219983102294,0.0206605751479,0.0114294207842,0.0113824827111,0.0429952749006,0.046046249648,0.0507322339394,0.0645789654849,0.0681853740964,0.0510216853897,0.0528131551773,0.049809118503,0.0537753856745,0.0651422223613,0.0795756798198,0.0827361767375,0.0766968113402,0.0700081359327,0.0490659323466,0.0345542447664,0.0273492505554,0.0349141033263,20,100,0,39,1,1,4,165,1289
013,25003,0.44634978252,0.480583283788,0.0175000782301,0.0147463779454,0.00150984134931,0.0012282129111,0.00666520637106,0.00815157868386,0.000195575304315,0.000258159401696,0.0219983102294,0.0206605751479,0.0114294207842,0.0113824827111,0.0429952749006,0.046046249648,0.0507322339394,0.0645789654849,0.0681853740964,0.0510216853897,0.0528131551773,0.049809118503,0.0537753856745,0.0651422223613,0.0795756798198,0.0827361767375,0.0766968113402,0.0700081359327,0.0490659323466,0.0345542447664,0.0273492505554,0.0349141033263,7,64,0,41,0,0,3,115,709
014,25017,0.39169687958,0.411316610089,0.0274947496718,0.028400033057,0.00129389283842,0.00125225611129,0.0560001362657,0.0593329670142,0.00035328132107,0.000314798891454,0.0391145508375,0.0384742284431,0.0113050022742,0.011239392886,0.0558556694397,0.0551377513265,0.0570006794357,0.0646498508964,0.0690261232611,0.0764147497475,0.0754899097177,0.0666042536333,0.0649419388457,0.0700392836212,0.0746742083817,0.0694185178713,0.058104683564,0.0470570719666,0.0322312428121,0.0233657742318,0.0181725388121,0.0218157524356,32,159,0,86,1,1,3,282,1807
015,25013,0.402812891712,0.429962395632,0.0519088997004,0.0560028893752,0.00376893496781,0.00390703010474,0.0117380866388,0.0133038730375,0.000826446280992,0.00087318617349,0.115152223332,0.124623425184,0.0120079032909,0.0128874630861,0.0582209097283,0.0602838386199,0.0635811255816,0.0726422911045,0.0767978924558,0.0664088890777,0.0620727017782,0.0561983471074,0.0577938770741,0.0650789266821,0.0720856614757,0.0715948926045,0.0622936539973,0.0504408421679,0.035486201109,0.0243323631265,0.019450168901,0.0252374174085,68,343,0,193,7,5,9,625,3103
016,25027,0.427861820375,0.442374075508,0.0283529292532,0.026549428973,0.00203183782418,0.00187432155055,0.0243258852964,0.0251183508901,0.000313811490873,0.000374864310109,0.0539609237536,0.0536483333191,0.0102348946167,0.0105877799119,0.0550574323871,0.0586864119624,0.0634057948894,0.0704683850186,0.0697955829506,0.0622689913952,0.0612408619193,0.0592871717037,0.0646036512028,0.073361067594,0.0802966678592,0.0755186742258,0.0616059577783,0.048830044825,0.033471597618,0.0227397330527,0.0174782010909,0.021883772527,26,144,0,81,1,0,5,257,1780
017,25017,0.39169687958,0.411316610089,0.0274947496718,0.028400033057,0.00129389283842,0.00125225611129,0.0560001362657,0.0593329670142,0.00035328132107,0.000314798891454,0.0391145508375,0.0384742284431,0.0113050022742,0.011239392886,0.0558556694397,0.0551377513265,0.0570006794357,0.0646498508964,0.0690261232611,0.0764147497475,0.0754899097177,0.0666042536333,0.0649419388457,0.0700392836212,0.0746742083817,0.0694185178713,0.058104683564,0.0470570719666,0.0322312428121,0.0233657742318,0.0181725388121,0.0218157524356,54,288,0,151,1,2,3,499,2417
018,25009,0.414018295378,0.447288359021,0.0325149508468,0.0327211249892,0.00432579122549,0.00417373779546,0.0187025718936,0.0205040184629,0.000724186675223,0.000713877968102,0.0947395956152,0.097702060324,0.0121397912229,0.0121732945211,0.0565393927914,0.0586449462208,0.0632464953617,0.0663945167987,0.0671199920623,0.0601886751121,0.0598175616557,0.0586269059833,0.0614798406789,0.0707550999107,0.0784634356601,0.0754429844738,0.0637541991874,0.0532547809851,0.0366848228771,0.025238292208,0.0197257110753,0.0246223469576,107,538,0,346,12,6,18,1027,6187
019,25009,0.414018295378,0.447288359021,0.0325149508468,0.0327211249892,0.00432579122549,0.00417373779546,0.0187025718936,0.0205040184629,0.000724186675223,0.000713877968102,0.0947395956152,0.097702060324,0.0121397912229,0.0121732945211,0.0565393927914,0.0586449462208,0.0632464953617,0.0663945167987,0.0671199920623,0.0601886751121,0.0598175616557,0.0586269059833,0.0614798406789,0.0707550999107,0.0784634356601,0.0754429844738,0.0637541991874,0.0532547809851,0.0366848228771,0.025238292208,0.0197257110753,0.0246223469576,73,413,0,254,11,4,16,771,4270
